Word/Phrase,Meaning,Usage in Sentence
Anayasa değişikliği,National interests,Anayasa değişikliği konusunda yapılan reformlar geniş yankı uyandırdı.
Parlamento sistemi,Pluralism,Bir toplumun Parlamento sistemi ilkelerine bağlı olması önemlidir.
Siyasi kriz,Local government,"Siyasi kriz perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Parti disiplini,Constitutional amendment,"Parti disiplini perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal çıkarlar,Freedom,"Ulusal çıkarlar, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Kamuoyu,National interests,Kamuoyu üzerine yoğun tartışmalar yaşanmaktadır.
Devlet politikası,Human rights,Bir toplumun Devlet politikası ilkelerine bağlı olması önemlidir.
Sivil toplum,Propaganda,"Sivil toplum, günümüz siyasetinde bir dönüm noktasıdır."
Yolsuzluk,Constitutional amendment,"Yolsuzluk, günümüz siyasetinde bir dönüm noktasıdır."
Çoğulculuk,Politics,Çoğulculuk kavramı modern siyaset biliminin temelini oluşturur.
Temsili demokrasi,Propaganda,"Temsili demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Egemenlik,Executive,Egemenlik konusunda yapılan reformlar geniş yankı uyandırdı.
Bağımsızlık,Legislation,Bağımsızlık konusunda yapılan reformlar geniş yankı uyandırdı.
Demokrasi,Public opinion,"Demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Hukukun üstünlüğü,Parliament,"Hukukun üstünlüğü, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
İnsan hakları,Politics,Bir toplumun İnsan hakları ilkelerine bağlı olması önemlidir.
Anayasa,Human rights,"Anayasa, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Özgürlük,Public opinion,"Özgürlük perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Siyaset,Human rights,"Siyaset, günümüz siyasetinde bir dönüm noktasıdır."
Diplomasi,Parliament,Diplomasi kavramı modern siyaset biliminin temelini oluşturur.
Uluslararası ilişkiler,Economic policy,"Uluslararası ilişkiler, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Meclis,Constitution,"Meclis, demokrasinin işleyişinde kritik bir rol oynar."
Reform,Party discipline,"Reform, demokrasinin işleyişinde kritik bir rol oynar."
Muhalefet,Pluralism,Muhalefet kavramı modern siyaset biliminin temelini oluşturur.
İktidar,Judiciary,"İktidar, günümüz siyasetinde bir dönüm noktasıdır."
Seçim,Parliament,Seçim üzerine yoğun tartışmalar yaşanmaktadır.
Koalisyon,Civil society,Koalisyon konusunda yapılan reformlar geniş yankı uyandırdı.
Halk egemenliği,Popular sovereignty,Bir toplumun Halk egemenliği ilkelerine bağlı olması önemlidir.
Yasama,Party discipline,"Yasama perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yürütme,Politics,Bir toplumun Yürütme ilkelerine bağlı olması önemlidir.
Yargı,Reform,Bir toplumun Yargı ilkelerine bağlı olması önemlidir.
Propaganda,Political crisis,"Propaganda, günümüz siyasetinde bir dönüm noktasıdır."
Bürokrasi,Political crisis,"Bürokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Ekonomi politikası,Ruling party,Ekonomi politikası üzerine yoğun tartışmalar yaşanmaktadır.
Yerel yönetim,National interests,Yerel yönetim konusunda yapılan reformlar geniş yankı uyandırdı.
Ulusal güvenlik,Propaganda,"Ulusal güvenlik, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Anayasa değişikliği,Independence,"Anayasa değişikliği, demokrasinin işleyişinde kritik bir rol oynar."
Parlamento sistemi,Diplomacy,"Parlamento sistemi, demokrasinin işleyişinde kritik bir rol oynar."
Siyasi kriz,Party discipline,"Siyasi kriz, günümüz siyasetinde bir dönüm noktasıdır."
Parti disiplini,Civil society,Parti disiplini üzerine yoğun tartışmalar yaşanmaktadır.
Ulusal çıkarlar,Party discipline,Ulusal çıkarlar kavramı modern siyaset biliminin temelini oluşturur.
Kamuoyu,Ruling party,Kamuoyu üzerine yoğun tartışmalar yaşanmaktadır.
Devlet politikası,Human rights,"Devlet politikası, günümüz siyasetinde bir dönüm noktasıdır."
Sivil toplum,Democracy,Sivil toplum üzerine yoğun tartışmalar yaşanmaktadır.
Yolsuzluk,Election,Yolsuzluk konusunda yapılan reformlar geniş yankı uyandırdı.
Çoğulculuk,Coalition,Çoğulculuk üzerine yoğun tartışmalar yaşanmaktadır.
Temsili demokrasi,Popular sovereignty,"Temsili demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Egemenlik,Parliamentary system,"Egemenlik, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Bağımsızlık,Political crisis,"Bağımsızlık perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Demokrasi,International relations,"Demokrasi, demokrasinin işleyişinde kritik bir rol oynar."
Hukukun üstünlüğü,Freedom,"Hukukun üstünlüğü perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
İnsan hakları,Ruling party,Bir toplumun İnsan hakları ilkelerine bağlı olması önemlidir.
Anayasa,Politics,"Anayasa perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Özgürlük,Coalition,Özgürlük kavramı modern siyaset biliminin temelini oluşturur.
Siyaset,Party discipline,Siyaset üzerine yoğun tartışmalar yaşanmaktadır.
Diplomasi,Reform,"Diplomasi, demokrasinin işleyişinde kritik bir rol oynar."
Uluslararası ilişkiler,Human rights,Bir toplumun Uluslararası ilişkiler ilkelerine bağlı olması önemlidir.
Meclis,Coalition,Meclis konusunda yapılan reformlar geniş yankı uyandırdı.
Reform,Civil society,Reform üzerine yoğun tartışmalar yaşanmaktadır.
Muhalefet,Political crisis,"Muhalefet perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
İktidar,Sovereignty,İktidar kavramı modern siyaset biliminin temelini oluşturur.
Seçim,Rule of law,Seçim üzerine yoğun tartışmalar yaşanmaktadır.
Koalisyon,Parliament,Bir toplumun Koalisyon ilkelerine bağlı olması önemlidir.
Halk egemenliği,Coalition,"Halk egemenliği, demokrasinin işleyişinde kritik bir rol oynar."
Yasama,Economic policy,Yasama üzerine yoğun tartışmalar yaşanmaktadır.
Yürütme,Economic policy,"Yürütme, günümüz siyasetinde bir dönüm noktasıdır."
Yargı,Diplomacy,Bir toplumun Yargı ilkelerine bağlı olması önemlidir.
Propaganda,Sovereignty,"Propaganda perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Bürokrasi,Party discipline,Bürokrasi konusunda yapılan reformlar geniş yankı uyandırdı.
Ekonomi politikası,Pluralism,Ekonomi politikası konusunda yapılan reformlar geniş yankı uyandırdı.
Yerel yönetim,Public opinion,"Yerel yönetim perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal güvenlik,Election,Ulusal güvenlik üzerine yoğun tartışmalar yaşanmaktadır.
Anayasa değişikliği,Diplomacy,Bir toplumun Anayasa değişikliği ilkelerine bağlı olması önemlidir.
Parlamento sistemi,Human rights,"Parlamento sistemi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Siyasi kriz,Civil society,Siyasi kriz kavramı modern siyaset biliminin temelini oluşturur.
Parti disiplini,Constitutional amendment,"Parti disiplini perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal çıkarlar,Local government,Ulusal çıkarlar üzerine yoğun tartışmalar yaşanmaktadır.
Kamuoyu,Popular sovereignty,Kamuoyu üzerine yoğun tartışmalar yaşanmaktadır.
Devlet politikası,National interests,"Devlet politikası, günümüz siyasetinde bir dönüm noktasıdır."
Sivil toplum,Constitution,Bir toplumun Sivil toplum ilkelerine bağlı olması önemlidir.
Yolsuzluk,Bureaucracy,Bir toplumun Yolsuzluk ilkelerine bağlı olması önemlidir.
Çoğulculuk,Legislation,Çoğulculuk konusunda yapılan reformlar geniş yankı uyandırdı.
Temsili demokrasi,Judiciary,Bir toplumun Temsili demokrasi ilkelerine bağlı olması önemlidir.
Egemenlik,International relations,Egemenlik kavramı modern siyaset biliminin temelini oluşturur.
Bağımsızlık,Parliament,"Bağımsızlık, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Demokrasi,Political crisis,Demokrasi kavramı modern siyaset biliminin temelini oluşturur.
Hukukun üstünlüğü,Propaganda,Hukukun üstünlüğü üzerine yoğun tartışmalar yaşanmaktadır.
İnsan hakları,Parliamentary system,"İnsan hakları perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Anayasa,Local government,"Anayasa, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Özgürlük,Parliamentary system,"Özgürlük, günümüz siyasetinde bir dönüm noktasıdır."
Siyaset,National interests,"Siyaset perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Diplomasi,Democracy,"Diplomasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Uluslararası ilişkiler,National interests,"Uluslararası ilişkiler, günümüz siyasetinde bir dönüm noktasıdır."
Meclis,Civil society,Bir toplumun Meclis ilkelerine bağlı olması önemlidir.
Reform,Corruption,"Reform, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Muhalefet,International relations,"Muhalefet, günümüz siyasetinde bir dönüm noktasıdır."
İktidar,Coalition,"İktidar, günümüz siyasetinde bir dönüm noktasıdır."
Seçim,Freedom,"Seçim, demokrasinin işleyişinde kritik bir rol oynar."
Koalisyon,Coalition,Koalisyon konusunda yapılan reformlar geniş yankı uyandırdı.
Halk egemenliği,Democracy,Bir toplumun Halk egemenliği ilkelerine bağlı olması önemlidir.
Yasama,Opposition,"Yasama, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Yürütme,Opposition,Bir toplumun Yürütme ilkelerine bağlı olması önemlidir.
Yargı,Election,Yargı üzerine yoğun tartışmalar yaşanmaktadır.
Propaganda,National interests,Bir toplumun Propaganda ilkelerine bağlı olması önemlidir.
Bürokrasi,State policy,Bürokrasi kavramı modern siyaset biliminin temelini oluşturur.
Ekonomi politikası,Reform,"Ekonomi politikası, günümüz siyasetinde bir dönüm noktasıdır."
Yerel yönetim,Diplomacy,Yerel yönetim üzerine yoğun tartışmalar yaşanmaktadır.
Ulusal güvenlik,Sovereignty,Bir toplumun Ulusal güvenlik ilkelerine bağlı olması önemlidir.
Anayasa değişikliği,Political crisis,Anayasa değişikliği üzerine yoğun tartışmalar yaşanmaktadır.
Parlamento sistemi,Constitutional amendment,"Parlamento sistemi, günümüz siyasetinde bir dönüm noktasıdır."
Siyasi kriz,Bureaucracy,Siyasi kriz üzerine yoğun tartışmalar yaşanmaktadır.
Parti disiplini,Representative democracy,"Parti disiplini perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal çıkarlar,State policy,Ulusal çıkarlar üzerine yoğun tartışmalar yaşanmaktadır.
Kamuoyu,Sovereignty,Kamuoyu konusunda yapılan reformlar geniş yankı uyandırdı.
Devlet politikası,Political crisis,"Devlet politikası, günümüz siyasetinde bir dönüm noktasıdır."
Sivil toplum,Politics,"Sivil toplum, demokrasinin işleyişinde kritik bir rol oynar."
Yolsuzluk,Opposition,"Yolsuzluk, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Çoğulculuk,Corruption,"Çoğulculuk, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Temsili demokrasi,Party discipline,"Temsili demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Egemenlik,National security,"Egemenlik, demokrasinin işleyişinde kritik bir rol oynar."
Bağımsızlık,International relations,"Bağımsızlık, demokrasinin işleyişinde kritik bir rol oynar."
Demokrasi,Pluralism,Demokrasi kavramı modern siyaset biliminin temelini oluşturur.
Hukukun üstünlüğü,Propaganda,Hukukun üstünlüğü kavramı modern siyaset biliminin temelini oluşturur.
İnsan hakları,Politics,"İnsan hakları, demokrasinin işleyişinde kritik bir rol oynar."
Anayasa,International relations,Bir toplumun Anayasa ilkelerine bağlı olması önemlidir.
Özgürlük,National security,Özgürlük üzerine yoğun tartışmalar yaşanmaktadır.
Siyaset,Local government,"Siyaset, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Diplomasi,Constitution,Diplomasi kavramı modern siyaset biliminin temelini oluşturur.
Uluslararası ilişkiler,Parliamentary system,Uluslararası ilişkiler üzerine yoğun tartışmalar yaşanmaktadır.
Meclis,Coalition,Bir toplumun Meclis ilkelerine bağlı olması önemlidir.
Reform,National security,Reform konusunda yapılan reformlar geniş yankı uyandırdı.
Muhalefet,Coalition,"Muhalefet, demokrasinin işleyişinde kritik bir rol oynar."
İktidar,Freedom,İktidar kavramı modern siyaset biliminin temelini oluşturur.
Seçim,Human rights,Bir toplumun Seçim ilkelerine bağlı olması önemlidir.
Koalisyon,Bureaucracy,Bir toplumun Koalisyon ilkelerine bağlı olması önemlidir.
Halk egemenliği,Rule of law,"Halk egemenliği perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yasama,Reform,Yasama üzerine yoğun tartışmalar yaşanmaktadır.
Yürütme,Parliament,Yürütme kavramı modern siyaset biliminin temelini oluşturur.
Yargı,Judiciary,Yargı üzerine yoğun tartışmalar yaşanmaktadır.
Propaganda,Popular sovereignty,"Propaganda, günümüz siyasetinde bir dönüm noktasıdır."
Bürokrasi,Public opinion,"Bürokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Ekonomi politikası,Sovereignty,"Ekonomi politikası, günümüz siyasetinde bir dönüm noktasıdır."
Yerel yönetim,State policy,Yerel yönetim konusunda yapılan reformlar geniş yankı uyandırdı.
Ulusal güvenlik,Politics,Bir toplumun Ulusal güvenlik ilkelerine bağlı olması önemlidir.
Anayasa değişikliği,Democracy,Anayasa değişikliği üzerine yoğun tartışmalar yaşanmaktadır.
Parlamento sistemi,Constitutional amendment,Parlamento sistemi konusunda yapılan reformlar geniş yankı uyandırdı.
Siyasi kriz,Bureaucracy,"Siyasi kriz perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Parti disiplini,Independence,Bir toplumun Parti disiplini ilkelerine bağlı olması önemlidir.
Ulusal çıkarlar,Sovereignty,"Ulusal çıkarlar, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Kamuoyu,Judiciary,"Kamuoyu perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Devlet politikası,Pluralism,Bir toplumun Devlet politikası ilkelerine bağlı olması önemlidir.
Sivil toplum,Bureaucracy,"Sivil toplum perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yolsuzluk,Executive,Bir toplumun Yolsuzluk ilkelerine bağlı olması önemlidir.
Çoğulculuk,Public opinion,Çoğulculuk konusunda yapılan reformlar geniş yankı uyandırdı.
Temsili demokrasi,Parliamentary system,Temsili demokrasi konusunda yapılan reformlar geniş yankı uyandırdı.
Egemenlik,Parliamentary system,Egemenlik kavramı modern siyaset biliminin temelini oluşturur.
Bağımsızlık,Public opinion,Bir toplumun Bağımsızlık ilkelerine bağlı olması önemlidir.
Demokrasi,Opposition,"Demokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Hukukun üstünlüğü,Constitution,Hukukun üstünlüğü kavramı modern siyaset biliminin temelini oluşturur.
İnsan hakları,Politics,"İnsan hakları, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Anayasa,Opposition,Anayasa üzerine yoğun tartışmalar yaşanmaktadır.
Özgürlük,Parliament,"Özgürlük, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Siyaset,Propaganda,"Siyaset perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Diplomasi,Constitution,Diplomasi üzerine yoğun tartışmalar yaşanmaktadır.
Uluslararası ilişkiler,Legislation,"Uluslararası ilişkiler, günümüz siyasetinde bir dönüm noktasıdır."
Meclis,Representative democracy,Meclis üzerine yoğun tartışmalar yaşanmaktadır.
Reform,Politics,"Reform, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Muhalefet,Propaganda,"Muhalefet perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
İktidar,International relations,"İktidar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Seçim,Judiciary,Seçim konusunda yapılan reformlar geniş yankı uyandırdı.
Koalisyon,Constitutional amendment,Koalisyon üzerine yoğun tartışmalar yaşanmaktadır.
Halk egemenliği,Party discipline,Halk egemenliği konusunda yapılan reformlar geniş yankı uyandırdı.
Yasama,Representative democracy,Yasama kavramı modern siyaset biliminin temelini oluşturur.
Yürütme,Sovereignty,Yürütme konusunda yapılan reformlar geniş yankı uyandırdı.
Yargı,Sovereignty,Bir toplumun Yargı ilkelerine bağlı olması önemlidir.
Propaganda,Party discipline,"Propaganda, demokrasinin işleyişinde kritik bir rol oynar."
Bürokrasi,Politics,Bir toplumun Bürokrasi ilkelerine bağlı olması önemlidir.
Ekonomi politikası,Judiciary,Ekonomi politikası konusunda yapılan reformlar geniş yankı uyandırdı.
Yerel yönetim,Public opinion,Yerel yönetim üzerine yoğun tartışmalar yaşanmaktadır.
Ulusal güvenlik,Economic policy,Ulusal güvenlik konusunda yapılan reformlar geniş yankı uyandırdı.
Anayasa değişikliği,Reform,Anayasa değişikliği üzerine yoğun tartışmalar yaşanmaktadır.
Parlamento sistemi,Ruling party,Bir toplumun Parlamento sistemi ilkelerine bağlı olması önemlidir.
Siyasi kriz,Legislation,"Siyasi kriz, demokrasinin işleyişinde kritik bir rol oynar."
Parti disiplini,Sovereignty,"Parti disiplini perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal çıkarlar,Executive,"Ulusal çıkarlar, demokrasinin işleyişinde kritik bir rol oynar."
Kamuoyu,Constitutional amendment,"Kamuoyu, günümüz siyasetinde bir dönüm noktasıdır."
Devlet politikası,Coalition,"Devlet politikası, günümüz siyasetinde bir dönüm noktasıdır."
Sivil toplum,Democracy,Bir toplumun Sivil toplum ilkelerine bağlı olması önemlidir.
Yolsuzluk,Constitutional amendment,Bir toplumun Yolsuzluk ilkelerine bağlı olması önemlidir.
Çoğulculuk,Rule of law,"Çoğulculuk, günümüz siyasetinde bir dönüm noktasıdır."
Temsili demokrasi,Party discipline,"Temsili demokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Egemenlik,Corruption,Bir toplumun Egemenlik ilkelerine bağlı olması önemlidir.
Bağımsızlık,National interests,Bağımsızlık kavramı modern siyaset biliminin temelini oluşturur.
Demokrasi,Independence,Demokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Hukukun üstünlüğü,Democracy,"Hukukun üstünlüğü, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
İnsan hakları,Popular sovereignty,Bir toplumun İnsan hakları ilkelerine bağlı olması önemlidir.
Anayasa,Constitutional amendment,Bir toplumun Anayasa ilkelerine bağlı olması önemlidir.
Özgürlük,National security,Özgürlük üzerine yoğun tartışmalar yaşanmaktadır.
Siyaset,Economic policy,Siyaset üzerine yoğun tartışmalar yaşanmaktadır.
Diplomasi,Politics,"Diplomasi, demokrasinin işleyişinde kritik bir rol oynar."
Uluslararası ilişkiler,Human rights,"Uluslararası ilişkiler perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Meclis,Economic policy,Meclis üzerine yoğun tartışmalar yaşanmaktadır.
Reform,Parliamentary system,Reform konusunda yapılan reformlar geniş yankı uyandırdı.
Muhalefet,Coalition,Muhalefet kavramı modern siyaset biliminin temelini oluşturur.
İktidar,Freedom,Bir toplumun İktidar ilkelerine bağlı olması önemlidir.
Seçim,Democracy,"Seçim perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Koalisyon,Democracy,"Koalisyon, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Halk egemenliği,Democracy,"Halk egemenliği, günümüz siyasetinde bir dönüm noktasıdır."
Yasama,Diplomacy,Yasama kavramı modern siyaset biliminin temelini oluşturur.
Yürütme,Constitution,"Yürütme, demokrasinin işleyişinde kritik bir rol oynar."
Yargı,Party discipline,"Yargı, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Propaganda,Political crisis,Propaganda kavramı modern siyaset biliminin temelini oluşturur.
Bürokrasi,Executive,"Bürokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ekonomi politikası,Freedom,Ekonomi politikası üzerine yoğun tartışmalar yaşanmaktadır.
Yerel yönetim,Politics,Yerel yönetim kavramı modern siyaset biliminin temelini oluşturur.
Ulusal güvenlik,National interests,"Ulusal güvenlik perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Anayasa değişikliği,International relations,"Anayasa değişikliği perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Parlamento sistemi,Judiciary,"Parlamento sistemi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Siyasi kriz,Rule of law,"Siyasi kriz, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Parti disiplini,Economic policy,"Parti disiplini, günümüz siyasetinde bir dönüm noktasıdır."
Ulusal çıkarlar,Party discipline,Ulusal çıkarlar kavramı modern siyaset biliminin temelini oluşturur.
Kamuoyu,Constitution,"Kamuoyu, günümüz siyasetinde bir dönüm noktasıdır."
Devlet politikası,Sovereignty,Bir toplumun Devlet politikası ilkelerine bağlı olması önemlidir.
Sivil toplum,Propaganda,Sivil toplum konusunda yapılan reformlar geniş yankı uyandırdı.
Yolsuzluk,Democracy,Yolsuzluk konusunda yapılan reformlar geniş yankı uyandırdı.
Çoğulculuk,Constitutional amendment,Çoğulculuk üzerine yoğun tartışmalar yaşanmaktadır.
Temsili demokrasi,Corruption,Temsili demokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Egemenlik,Executive,Egemenlik kavramı modern siyaset biliminin temelini oluşturur.
Bağımsızlık,Freedom,Bağımsızlık konusunda yapılan reformlar geniş yankı uyandırdı.
Demokrasi,Ruling party,"Demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Hukukun üstünlüğü,Corruption,"Hukukun üstünlüğü perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
İnsan hakları,Freedom,İnsan hakları konusunda yapılan reformlar geniş yankı uyandırdı.
Anayasa,State policy,Anayasa kavramı modern siyaset biliminin temelini oluşturur.
Özgürlük,Sovereignty,"Özgürlük, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Siyaset,Corruption,Siyaset konusunda yapılan reformlar geniş yankı uyandırdı.
Diplomasi,Public opinion,"Diplomasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Uluslararası ilişkiler,Judiciary,Uluslararası ilişkiler kavramı modern siyaset biliminin temelini oluşturur.
Meclis,Freedom,Meclis kavramı modern siyaset biliminin temelini oluşturur.
Reform,Bureaucracy,Bir toplumun Reform ilkelerine bağlı olması önemlidir.
Muhalefet,Democracy,Muhalefet üzerine yoğun tartışmalar yaşanmaktadır.
İktidar,Judiciary,İktidar üzerine yoğun tartışmalar yaşanmaktadır.
Seçim,Ruling party,"Seçim, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Koalisyon,Reform,Bir toplumun Koalisyon ilkelerine bağlı olması önemlidir.
Halk egemenliği,Corruption,"Halk egemenliği, günümüz siyasetinde bir dönüm noktasıdır."
Yasama,Party discipline,Bir toplumun Yasama ilkelerine bağlı olması önemlidir.
Yürütme,Diplomacy,Yürütme konusunda yapılan reformlar geniş yankı uyandırdı.
Yargı,Human rights,Yargı konusunda yapılan reformlar geniş yankı uyandırdı.
Propaganda,Corruption,Bir toplumun Propaganda ilkelerine bağlı olması önemlidir.
Bürokrasi,Propaganda,Bir toplumun Bürokrasi ilkelerine bağlı olması önemlidir.
Ekonomi politikası,Parliament,"Ekonomi politikası perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yerel yönetim,Propaganda,"Yerel yönetim, günümüz siyasetinde bir dönüm noktasıdır."
Ulusal güvenlik,Public opinion,"Ulusal güvenlik, günümüz siyasetinde bir dönüm noktasıdır."
Anayasa değişikliği,Popular sovereignty,Bir toplumun Anayasa değişikliği ilkelerine bağlı olması önemlidir.
Parlamento sistemi,Propaganda,"Parlamento sistemi, günümüz siyasetinde bir dönüm noktasıdır."
Siyasi kriz,National interests,Siyasi kriz kavramı modern siyaset biliminin temelini oluşturur.
Parti disiplini,National interests,Parti disiplini konusunda yapılan reformlar geniş yankı uyandırdı.
Ulusal çıkarlar,Popular sovereignty,"Ulusal çıkarlar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Kamuoyu,Democracy,"Kamuoyu perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Devlet politikası,Judiciary,Devlet politikası kavramı modern siyaset biliminin temelini oluşturur.
Sivil toplum,National security,Sivil toplum konusunda yapılan reformlar geniş yankı uyandırdı.
Yolsuzluk,Reform,Yolsuzluk kavramı modern siyaset biliminin temelini oluşturur.
Çoğulculuk,Parliamentary system,Çoğulculuk üzerine yoğun tartışmalar yaşanmaktadır.
Temsili demokrasi,Ruling party,Temsili demokrasi kavramı modern siyaset biliminin temelini oluşturur.
Egemenlik,Party discipline,"Egemenlik perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Bağımsızlık,Public opinion,Bağımsızlık üzerine yoğun tartışmalar yaşanmaktadır.
Demokrasi,National security,Demokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Hukukun üstünlüğü,Representative democracy,Bir toplumun Hukukun üstünlüğü ilkelerine bağlı olması önemlidir.
İnsan hakları,State policy,Bir toplumun İnsan hakları ilkelerine bağlı olması önemlidir.
Anayasa,Public opinion,Anayasa konusunda yapılan reformlar geniş yankı uyandırdı.
Özgürlük,Pluralism,Özgürlük kavramı modern siyaset biliminin temelini oluşturur.
Siyaset,Party discipline,Siyaset konusunda yapılan reformlar geniş yankı uyandırdı.
Diplomasi,Corruption,Diplomasi üzerine yoğun tartışmalar yaşanmaktadır.
Uluslararası ilişkiler,Pluralism,Uluslararası ilişkiler kavramı modern siyaset biliminin temelini oluşturur.
Meclis,Economic policy,Bir toplumun Meclis ilkelerine bağlı olması önemlidir.
Reform,Political crisis,Reform kavramı modern siyaset biliminin temelini oluşturur.
Muhalefet,Party discipline,Muhalefet üzerine yoğun tartışmalar yaşanmaktadır.
İktidar,Election,"İktidar, demokrasinin işleyişinde kritik bir rol oynar."
Seçim,State policy,"Seçim, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Koalisyon,Economic policy,Koalisyon konusunda yapılan reformlar geniş yankı uyandırdı.
Halk egemenliği,Ruling party,Halk egemenliği konusunda yapılan reformlar geniş yankı uyandırdı.
Yasama,Public opinion,Yasama konusunda yapılan reformlar geniş yankı uyandırdı.
Yürütme,Constitution,"Yürütme, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Yargı,Bureaucracy,"Yargı, günümüz siyasetinde bir dönüm noktasıdır."
Propaganda,National interests,Propaganda konusunda yapılan reformlar geniş yankı uyandırdı.
Bürokrasi,Party discipline,Bürokrasi konusunda yapılan reformlar geniş yankı uyandırdı.
Ekonomi politikası,Opposition,Bir toplumun Ekonomi politikası ilkelerine bağlı olması önemlidir.
Yerel yönetim,Parliament,Yerel yönetim üzerine yoğun tartışmalar yaşanmaktadır.
Ulusal güvenlik,Coalition,"Ulusal güvenlik perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Anayasa değişikliği,Parliamentary system,"Anayasa değişikliği perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Parlamento sistemi,Reform,Parlamento sistemi konusunda yapılan reformlar geniş yankı uyandırdı.
Siyasi kriz,Constitutional amendment,"Siyasi kriz, günümüz siyasetinde bir dönüm noktasıdır."
